# Tradução pt-BR do Caelestia shell — interface do dia a dia (modules/nexus fica de fora).
# Formato: <inglês><TAB><português>. Linhas com # e linhas vazias são ignoradas.
# O texto deve ser escrito exatamente como aparece no QML, inclusive escapes (\" e \n).
# Strings ausentes daqui ficam em inglês de propósito (nomes próprios, siglas, termos consagrados).
#
# --- placeholders e contadores ---
 (%1 connected)	 (%1 conectado)
%1 devices available	%1 dispositivos disponíveis
%1 networks available	%1 redes disponíveis
%1 on monitor %2 at %3, %4	%1 no monitor %2 em %3, %4
#
# --- clima ---
7-Day Forecast	Previsão de 7 dias
Hourly forecast	Previsão por hora
Feels like %1	Sensação de %1
High %1 • Low %2	Máx %1 • Mín %2
Today	Hoje
Now	Agora
now	agora
No weather	Sem dados de clima
Unknown City	Cidade desconhecida
Weather	Clima
#
# --- bateria e energia ---
Battery	Bateria
Battery is charging	A bateria está carregando
Battery is discharging	A bateria está descarregando
Battery level is low	Nível da bateria está baixo
Battery warning	Aviso de bateria
Charger plugged in	Carregador conectado
Charger unplugged	Carregador desconectado
Charging	Carregando
Full	Cheia
No battery detected	Nenhuma bateria detectada
Time %1: %2	Tempo %1: %2
Remaining: %1%	Restante: %1%
Power profile: %1	Perfil de energia: %1
Performance Degraded	Desempenho reduzido
Normal power management	Gerenciamento de energia normal
Preventing sleep mode	Impedindo a suspensão
Keep Awake	Manter acordado
Hibernating in 5 seconds	Hibernando em 5 segundos
Hibernating to prevent data loss	Hibernando para evitar perda de dados
Calculating...	Calculando...
#
# --- rede / wifi / vpn ---
Wireless	Wi-Fi
# "Ethernet" fica como está — mesma palavra nos dois idiomas.
Enabled	Ativado
Network	Rede
Network: %1	Rede: %1
Network: Unknown	Rede: desconhecida
Rescan networks	Reescanear redes
Connect	Conectar
Connecting...	Conectando...
Connected to %1	Conectado a %1
Disconnected from %1	Desconectado de %1
Could not connect to %1	Não foi possível conectar a %1
Connection failed. Please check your password and try again.	Falha na conexão. Verifique a senha e tente novamente.
Open	Aberta
Address: %1	Endereço: %1
VPN authentication required	Autenticação de VPN necessária
VPN connected	VPN conectada
VPN connection failed	Falha ao conectar a VPN
VPN disconnected	VPN desconectada
VPN disconnection failed	Falha ao desconectar a VPN
VPN error	Erro de VPN
#
# --- bluetooth ---
Discovering	Procurando
Open settings	Abrir configurações
Input device	Dispositivo de entrada
Output device	Dispositivo de saída
Unknown Device	Dispositivo desconhecido
#
# --- desempenho / sistema ---
Dashboard	Painel
Performance	Desempenho
Memory	Memória
Storage	Armazenamento
Usage	Uso
Used	Usado
No disks	Sem discos
No disks detected	Nenhum disco detectado
Collecting data...	Coletando dados...
#
# --- mídia ---
Media	Mídia
No media	Sem mídia
Nothing playing	Nada tocando
Now Playing	Tocando agora
Play something for it to show up here!	Reproduza algo para aparecer aqui!
Try playing some music!	Experimente tocar uma música!
No players	Nenhum reprodutor
Paused	Pausado
Muted	Mudo
# "Volume (%1)" fica como está.
Lyrics	Letra
Loading lyrics...	Carregando letra...
No lyrics found	Letra não encontrada
Offset: %1 ms	Deslocamento: %1 ms
Unknown album	Álbum desconhecido
Unknown artist	Artista desconhecido
Unknown title	Título desconhecido
Unknown track	Faixa desconhecida
#
# --- notificações ---
# "Notifications" sozinho não entra aqui: as duas ocorrências ficam dentro dos ternários
# de plural (lock/NotifDock.qml e sidebar/NotifDock.qml) e já são traduzidas pelas regras.
No Notifications	Sem notificações
Unlock for Notifications	Desbloqueie para ver as notificações
No body here! :/	Sem conteúdo aqui! :/
Do not disturb disabled	Não perturbe desativado
Do not disturb enabled	Não perturbe ativado
Popup notifications are now disabled	Notificações em popup desativadas
Popup notifications are now enabled	Notificações em popup ativadas
Unknown Application	Aplicativo desconhecido
#
# --- gravação de tela ---
Screen Recorder	Gravador de tela
Recordings	Gravações
No recordings found	Nenhuma gravação encontrada
Record fullscreen	Gravar tela cheia
Record fullscreen with sound	Gravar tela cheia com som
Record region	Gravar região
Record region with sound	Gravar região com som
Region	Região
Recording at %1	Gravando em %1
Recording for %1	Gravando há %1
Delete recording?	Excluir gravação?
Recording '%1' will be permanently deleted.	A gravação '%1' será excluída permanentemente.
Ready	Pronto
Running...	Executando...
#
# --- launcher ---
Type \"%1\" for commands	Digite \"%1\" para comandos
Type an expression to calculate	Digite uma expressão para calcular
Open in calculator	Abrir na calculadora
No results	Sem resultados
